Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
45655.87,23,63,4663,74511,1434,54,202.7391304347826,1434,54,1182.7142857142858,1734.147219185616219776339822,1.883657019349319156550953908,920,2520,0.5037687377329574488450225568,1.379888281616361707705931351,54,1434,920.6279069767442,636.012067431802,404511.3499188751,2.071753,0.7348629354838709677419354839,0,0.5308822093023255813953488372,BENIGN
45370.485,9,10,3090,4297,1434,54,343.3333333333333,1434,54,429.7,162.8150988467502606595455173,0.4187744521576086303683991917,360,400,0.1983668457588672459639785645,0.2204076063987413844044206272,54,1434,388.7894736842105,500.93550156811807,250936.376731302,5.66149575,5.030720333333333333333333333,0,2.387920263157894736842105263,BENIGN
46436.161,92,899,9294,953470,1434,54,101.02173913043478,1434,54,1060.5895439377086,20733.06619812951376406848103,21.34112679986616464698707544,3680,35960,1.981214596960330118590122039,19.35991220290583452839695340,54,1434,971.5075681130171,636.2019474623075,404752.91795483266,0.5092817362637362637362637363,0.05160622605790645879732739421,0,0.04685788193743693239152371342,BENIGN
45625.406,20,88,4084,104686,1434,54,204.2,1434,54,1189.6136363636363,2383.978785854530258864984127,2.367102223704047696583784920,800,3520,0.4383522636488977215895898000,1.928749960055149974994195120,54,1434,1007.1296296296297,612.675433569735,375371.1868998627,2.397337473684210526315789474,0.5234213908045977011494252874,0,0.4224574629629629629629629630,BENIGN
45695.776,16,28,5091,18844,1434,54,318.1875,1434,54,673,523.7902076550795417064369363,0.9628898741100271499930321787,640,1120,0.3501417724036462363611026104,0.6127481017063809136319295683,54,1434,543.9772727272727,567.3707497441944,321909.56766528933,3.0413234,1.689597111111111111111111111,0,1.038540363636363636363636364,BENIGN
47034.33,97,916,9061,1086733,1434,54,93.41237113402062,1434,54,1186.3897379912664,23297.74868696970914648938339,21.53745997870066396183383499,3880,36640,2.062323413557714120728412630,19.47513656514294984110542236,54,1434,1081.731490621915,590.337838060422,348498.76304585306,0.4890291666666666666666666667,0.05131483606557377049180327869,0,0.04643073050345508390918065153,BENIGN
45660.291,31,104,4244,135161,1434,54,136.90322580645162,1434,54,1299.625,3053.090485121962976539067611,2.956617162163946786935720580,1240,4160,0.6789269039043137066296839852,2.277690258259633080306036595,54,1434,1032.6296296296296,613.5255826805974,376413.64060356654,1.519533366666666666666666667,0.4426113203883495145631067961,0,0.3382243777777777777777777778,BENIGN
45347.776,8,8,2331,2761,1434,54,291.375,1434,54,345.125,112.2877558537821127104447195,0.3528287693755918702606275554,320,320,0.1764143846877959351303137777,0.1764143846877959351303137777,54,1434,318.25,460.61921638160084,212170.0625,6.467397857142857142857142857,6.464925571428571428571428571,0,2.834236,BENIGN
45076.567,2,2,110,132,55,55,55,66,66,66,5.368643091209674419083423101,0.08873790233404420527410616696,80,80,0.04436895116702210263705308348,0.04436895116702210263705308348,55,66,60.5,5.5,30.25,45.040154,45.041358,0,11.26914175,BENIGN
47228.279,55,686,6794,639090,1434,54,123.52727272727273,1434,54,931.6180758017492,13675.78945656690136856352526,15.68975231979128437011223720,2200,27440,1.164556514964265371600773342,14.52519580482701899851146386,54,1434,871.638326585695,661.1201012075502,437079.7882206815,0.8729746296296296296296296296,0.06881866861313868613138686131,0,0.06373586909581646423751686910,BENIGN
45567.225,14,56,3309,65134,1434,54,236.35714285714286,1434,54,1163.107142857143,1502.022561171982713452486957,1.536191857195604955096563374,560,2240,0.3072383714391209910193126748,1.228953485756483964077250699,54,1434,977.7571428571429,622.6033003380536,387634.86959183664,3.499000230769230769230769231,0.8269095818181818181818181818,0,0.6509603571428571428571428571,BENIGN
45393.887,8,13,2996,4812,1434,54,374.5,1434,54,370.15384615384613,172.0055389836961968028866971,0.4626173563854533981635016186,320,520,0.1762351833849346278718101404,0.2863821730005187702916914782,54,1434,371.8095238095238,476.580540242537,227129.01133786843,6.472450571428571428571428571,3.776379583333333333333333333,0,2.161613666666666666666666667,BENIGN
45088.237,2,2,110,132,55,55,55,66,66,66,5.367253547749050378705204198,0.08871493467353802278851577186,80,80,0.04435746733676901139425788593,0.04435746733676901139425788593,55,66,60.5,5.5,30.25,45.058126,45.037486,0,11.27205925,BENIGN
45415.737,8,8,2299,2761,1434,54,287.375,1434,54,345.125,111.4151246736346037938347230,0.3523007894818485495457224442,320,320,0.1761503947409242747728612221,0.1761503947409242747728612221,54,1434,316.25,460.1815538458707,211767.0625,6.477531,6.475969857142857142857142857,0,2.838483563,BENIGN
0,1,0,70,0,70,70,70,0,0,0,0,0,28,0,0,0,70,70,70,0,0,0,0,0,0,BENIGN
0,1,0,73,0,73,73,73,0,0,0,0,0,28,0,0,0,73,73,73,0,0,0,0,0,0,BENIGN
0,1,0,73,0,73,73,73,0,0,0,0,0,28,0,0,0,73,73,73,0,0,0,0,0,0,BENIGN
45114.616,2,2,110,132,55,55,55,66,66,66,5.364115257015597783210656165,0.08866306209943136831753150686,80,80,0.04433153104971568415876575343,0.04433153104971568415876575343,55,66,60.5,5.5,30.25,45.083842,45.043957,0,11.278654,BENIGN
