Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
372.069000,23,49,16767,28270,1454,54,729.0,1454,60,576.9387755102041,121044.7524518301712854336158,193.5124936503713020971916499,920,1960,61.81649102720194372549177706,131.6960026231693583716998729,54,1454,625.5138888888889,606.3506272285304,367661.08314043214,0.01691222727272727272727272727,0.007392458333333333333333333333,0.0,0.005167625,BENIGN
426.432000,6,3,2136,279,1454,54,356.0,153,60,93.0,5663.271049076992345790184602,21.10535794687077892841062584,240,120,14.07023863124718595227375056,7.035119315623592976136875281,54,1454,268.3333333333333,436.73994296122925,190741.77777777778,0.0852864,0.108009,0.0,0.04738133333333333333333333333,BENIGN
278.177000,15,33,4333,19231,1454,54,288.8666666666667,1454,60,582.7575757575758,84708.65671856407970464847921,172.5520082537377281371213292,600,1320,53.92250257929304004285041538,118.6295056744446880942709138,54,1454,490.9166666666667,549.263022654498,301689.8680555555,0.01986978571428571428571428571,0.00649803125,0.0,0.005795354166666666666666666667,BENIGN
57.234000,8,8,5547,2472,1292,75,693.375,1274,72,309.0,140109.0261033651326134814970,279.5541111926477268756333648,224,224,139.7770555963238634378166824,139.7770555963238634378166824,72,1292,501.1875,539.2377975844702,290777.40234375,0.008176285714285714285714285714,0.005544571428571428571428571429,0.0,0.003577125,BENIGN
62.450000,8,15,3402,8962,1292,75,425.25,1274,81,597.4666666666667,197982.3859087269815852682146,368.2946357085668534827862290,224,420,128.1024819855884707766212970,240.1921537229783827061649319,75,1292,537.5652173913044,546.5631612402658,298731.28922495275,0.008921428571428571428571428571,0.003205714285714285714285714286,0.0,0.002715217391304347826086956522,BENIGN
3407.219000,1,2,66,132,66,66,66.0,66,66,66.0,58.11190886174325747772596948,0.8804834676021705678443328709,40,80,0.2934944892007235226147776236,0.5869889784014470452295552473,66,66,66.0,0.0,0.0,0,3.189124,0.0,1.135739666666666666666666667,BENIGN
1462.371000,54,364,8302,474801,1454,54,153.74074074074073,1454,60,1304.3983516483515,330355.9766981155944695292781,285.8371781169074058498151290,2160,14560,36.92633401510287061217707408,248.9108441018045352376380549,54,1454,1155.748803827751,546.007401812006,298124.08283349744,0.02759190566037735849056603774,0.003970900826446280991735537190,0.0,0.003498495215311004784688995215,BENIGN
97.770000,38,65,6117,73283,1292,74,160.97368421052633,1494,67,1127.4307692307693,812110.0542088575227574920732,1053.492891480004091234530019,1064,1820,388.6672803518461695816712693,664.8256111281579216528587501,67,1494,770.8737864077669,581.3717404337636,337993.10057498346,0.002642432432432432432432432432,0.001311375,0.0,0.0009492233009708737864077669903,BENIGN
157.396000,12,61,3690,76245,1454,54,307.5,1454,60,1249.9180327868853,507859.1577930824163257007802,463.7983176192533482426491143,480,2440,76.24081933467178327276423797,387.5574982845815649698848764,54,1454,1095.0,579.9838212197926,336381.23287671234,0.01208572727272727272727272727,0.00210975,0.0,0.002156109589041095890410958904,BENIGN
216.102000,15,15,6526,7235,1454,54,435.06666666666666,1454,60,482.3333333333333,63678.26304245217536163478357,138.8233334258822222839214815,600,600,69.41166671294111114196074076,69.41166671294111114196074076,54,1454,458.7,538.3010403110883,289768.0099999999,0.009581142857142857142857142857,0.01326685714285714285714285714,0.0,0.0072034,BENIGN
